Datetime,Temp,Umi,Vel_vento,Dir_vento,Precipitacao,Ori_vento
2000-06-29 22:00:00,14.5,70,2.6,280,0.0,O
2000-06-29 05:00:00,14.5,86,3.7,209,1.3,SO
2000-07-23 07:00:00,14.5,97,0.3,153,0.0,SE
2000-07-09 00:00:00,14.5,97,0.3,182,0.0,S
2000-07-09 01:00:00,14.5,96,0.8,25,0.0,NE
2000-05-13 06:00:00,14.5,95,1.0,68,0.1,L
2000-06-29 10:00:00,14.5,81,4.0,247,0.0,SO
2000-11-05 06:00:00,14.5,98,0.6,62,0.0,NE
2000-06-29 09:00:00,14.5,83,4.0,236,0.1,SO
2000-07-10 09:00:00,14.5,98,0.5,291,0.0,O
2000-07-21 04:00:00,14.5,97,0.7,117,0.0,SE
2000-08-15 02:00:00,14.5,96,0.5,113,0.1,SE
2000-06-29 04:00:00,14.5,84,3.5,213,1.1,SO
2000-06-29 01:00:00,14.5,84,5.2,217,0.6,SO
2000-07-24 02:00:00,14.5,96,0.5,223,0.0,SO
2000-09-07 23:00:00,14.5,96,0.9,267,0.0,O
2000-07-20 08:00:00,14.5,97,0.4,65,0.0,NE
2000-07-13 23:00:00,14.5,96,0.4,48,0.0,NE
2000-08-05 23:00:00,14.6,71,0.6,88,0.0,L
2000-07-19 22:00:00,14.6,96,0.8,45,0.0,NE
2000-11-09 03:00:00,14.6,97,0.7,68,0.0,L
2000-07-22 05:00:00,14.6,98,0.7,46,0.0,NE
2000-07-31 08:00:00,14.6,98,0.5,289,0.0,O
2000-11-08 06:00:00,14.6,98,0.4,120,0.0,SE
2000-07-05 10:00:00,14.6,93,1.9,217,0.4,SO
2000-08-21 22:00:00,14.6,65,2.2,339,0.0,N
2000-07-11 05:00:00,14.6,98,0.3,34,0.0,NE
2000-06-29 11:00:00,14.6,77,4.0,260,0.0,O
2000-05-18 06:00:00,14.7,94,0.4,85,0.0,L
2000-07-23 04:00:00,14.7,97,0.2,185,0.0,S
2000-07-05 11:00:00,14.7,95,1.1,225,0.3,SO
2000-08-15 01:00:00,14.7,96,0.6,299,0.1,NO
2000-07-22 06:00:00,14.7,98,0.1,314,0.0,NO
2000-07-31 00:00:00,14.7,97,0.5,87,0.0,L
2000-07-08 00:00:00,14.7,95,0.8,69,0.0,L
2000-07-17 22:00:00,14.7,99,0.9,147,0.0,SE
2000-08-01 08:00:00,14.7,99,0.8,3,0.0,N
2000-10-22 04:00:00,14.7,96,0.9,271,0.0,O
2000-08-09 04:00:00,14.7,96,0.5,338,0.0,N
2000-07-18 08:00:00,14.7,98,0.6,311,0.1,NO
2000-05-20 03:00:00,14.7,95,0.5,203,0.0,SO
2000-08-24 06:00:00,14.7,97,0.3,81,0.0,L
2000-05-20 23:00:00,14.7,93,0.3,109,0.0,L
2000-08-06 07:00:00,14.7,58,0.4,58,0.0,NE
2000-07-17 13:00:00,14.7,96,0.9,322,0.4,NO
2000-09-09 02:00:00,14.7,97,0.2,176,0.0,S
2000-08-27 03:00:00,14.7,97,0.2,352,0.0,N
2000-11-08 03:00:00,14.7,98,0.4,10,0.0,N
2000-06-15 01:00:00,14.7,100,0.5,81,0.0,L
2000-06-29 06:00:00,14.7,86,3.7,215,0.9,SO
2000-06-29 00:00:00,14.7,84,6.3,214,0.4,SO
2000-09-04 06:00:00,14.7,87,0.7,34,0.6,NE
2000-05-17 00:00:00,14.7,93,0.5,97,0.0,L
2000-06-16 04:00:00,14.7,99,0.5,144,0.1,SE
2000-06-29 21:00:00,14.7,70,2.3,287,0.0,O
2000-06-29 07:00:00,14.7,84,3.6,225,0.5,SO
2000-05-13 03:00:00,14.7,94,0.6,71,0.1,L
2000-05-13 04:00:00,14.7,94,0.3,125,0.0,SE
2000-06-16 07:00:00,14.7,100,0.4,62,0.3,NE
2000-07-20 21:00:00,14.7,95,0.6,41,0.0,NE
2000-07-19 21:00:00,14.7,94,0.4,280,0.0,O
2000-12-07 04:00:00,14.7,89,0.5,40,0.0,NE
2000-07-13 08:00:00,14.7,93,0.7,91,0.0,L
2000-07-12 22:00:00,14.7,83,1.1,264,0.0,O
2000-05-15 08:00:00,14.7,96,0.4,349,0.0,N
2000-11-08 02:00:00,14.7,97,0.5,336,0.0,NO
2000-09-08 05:00:00,14.7,97,0.5,69,0.0,L
2000-06-29 08:00:00,14.7,83,3.9,227,0.1,SO
2000-06-29 20:00:00,14.8,71,1.9,295,0.0,NO
2000-06-29 18:00:00,14.8,67,1.8,305,0.0,NO
2000-09-06 05:00:00,14.9,97,0.4,306,0.0,NO
2000-07-22 08:00:00,15.0,99,0.8,260,0.0,O
2000-08-24 01:00:00,15.0,96,0.4,73,0.0,L
2000-08-24 00:00:00,15.0,96,0.4,285,0.0,O
2000-05-19 04:00:00,15.0,94,0.6,125,0.0,SE
2000-08-24 02:00:00,15.0,97,0.5,318,0.0,NO
2000-05-19 03:00:00,15.0,93,0.4,185,0.0,S
2000-08-06 00:00:00,15.0,91,0.7,67,0.0,NE
2000-05-13 02:00:00,15.0,94,0.3,22,0.1,N
2000-07-19 20:00:00,15.0,93,0.5,120,0.0,SE
2000-08-06 02:00:00,15.0,72,0.7,87,0.0,L
2000-08-25 23:00:00,15.0,95,0.6,34,0.0,NE
2000-05-14 21:00:00,15.0,92,0.4,52,0.0,NE
2000-05-21 08:00:00,15.0,95,0.4,80,0.0,L
2000-08-15 05:00:00,15.0,96,0.7,70,0.1,L
2000-08-10 23:00:00,15.0,96,0.2,73,0.0,L
2000-08-21 07:00:00,15.0,85,3.2,166,0.0,S
2000-08-07 20:00:00,15.0,94,0.5,58,0.0,NE
2000-11-09 06:00:00,15.0,98,0.3,190,0.0,S
2000-09-09 00:00:00,15.0,96,0.4,275,0.0,O
2000-07-12 20:00:00,15.0,91,0.8,67,0.0,NE
2000-06-17 22:00:00,15.0,93,0.6,349,0.1,N
2000-07-13 03:00:00,15.0,94,1.5,17,0.0,N
2000-09-08 06:00:00,15.0,97,0.3,109,0.0,L
2000-07-17 12:00:00,15.0,93,1.1,266,0.3,O
2000-07-17 05:00:00,15.0,95,0.5,13,0.1,N
